pokedex_id,name,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed
1,Bulbasaur,7,69,64,grass,poison,45,49,49,65,65,45
2,Ivysaur,10,130,142,grass,poison,60,62,63,80,80,60
3,Venusaur,20,1000,236,grass,poison,80,82,83,100,100,80
4,Charmander,6,85,62,fire,None,39,52,43,60,50,65
5,Charmeleon,11,190,142,fire,None,58,64,58,80,65,80
6,Charizard,17,905,240,fire,flying,78,84,78,109,85,100
7,Squirtle,5,90,63,water,None,44,48,65,50,64,43
8,Wartortle,10,225,142,water,None,59,63,80,65,80,58
9,Blastoise,16,855,239,water,None,79,83,100,85,105,78
10,Caterpie,3,29,39,bug,None,45,30,35,20,20,45
11,Metapod,7,99,72,bug,None,50,20,55,25,25,30
12,Butterfree,11,320,178,bug,flying,60,45,50,90,80,70
13,Weedle,3,32,39,bug,poison,40,35,30,20,20,50
14,Kakuna,6,100,72,bug,poison,45,25,50,25,25,35
15,Beedrill,10,295,178,bug,poison,65,90,40,45,80,75
16,Pidgey,3,18,50,normal,flying,40,45,40,35,35,56
17,Pidgeotto,11,300,122,normal,flying,63,60,55,50,50,71
18,Pidgeot,15,395,216,normal,flying,83,80,75,70,70,101
19,Rattata,3,35,51,normal,None,30,56,35,25,35,72
20,Raticate,7,185,145,normal,None,55,81,60,50,70,97
21,Spearow,3,20,52,normal,flying,40,60,30,31,31,70
22,Fearow,12,380,155,normal,flying,65,90,65,61,61,100
23,Ekans,20,69,58,poison,None,35,60,44,40,54,55
24,Arbok,35,650,157,poison,None,60,95,69,65,79,80
25,Pikachu,4,60,112,electric,None,35,55,40,50,50,90
26,Raichu,8,300,218,electric,None,60,90,55,90,80,110
27,Sandshrew,6,120,60,ground,None,50,75,85,20,30,40
28,Sandslash,10,295,158,ground,None,75,100,110,45,55,65
29,Nidoran-f,4,70,55,poison,None,55,47,52,40,40,41
30,Nidorina,8,200,128,poison,None,70,62,67,55,55,56
31,Nidoqueen,13,600,227,poison,ground,90,92,87,75,85,76
32,Nidoran-m,5,90,55,poison,None,46,57,40,40,40,50
33,Nidorino,9,195,128,poison,None,61,72,57,55,55,65
34,Nidoking,14,620,227,poison,ground,81,102,77,85,75,85
35,Clefairy,6,75,113,fairy,None,70,45,48,60,65,35
36,Clefable,13,400,217,fairy,None,95,70,73,95,90,60
37,Vulpix,6,99,60,fire,None,38,41,40,50,65,65
38,Ninetales,11,199,177,fire,None,73,76,75,81,100,100
39,Jigglypuff,5,55,95,normal,fairy,115,45,20,45,25,20
40,Wigglytuff,10,120,196,normal,fairy,140,70,45,85,50,45
41,Zubat,8,75,49,poison,flying,40,45,35,30,40,55
42,Golbat,16,550,159,poison,flying,75,80,70,65,75,90
